DrugBank_ID,Drug_Name,UniProt_ID
DB00001,Lepirudin,P00734
DB00002,Cetuximab,P00533
DB00002,Cetuximab,O75015
DB00002,Cetuximab,P02745
DB00002,Cetuximab,P02746
DB00002,Cetuximab,P02747
DB00002,Cetuximab,P08637
DB00002,Cetuximab,P12314
DB00002,Cetuximab,P12318
DB00003,Dornase alfa,P24855
DB00004,Denileukin diftitox,P01589
DB00004,Denileukin diftitox,P14784
DB00005,Etanercept,P01375
DB00005,Etanercept,P01374
DB00005,Etanercept,P12314
DB00005,Etanercept,P12318
DB00005,Etanercept,P31994
DB00005,Etanercept,P31995
DB00005,Etanercept,P08637
DB00005,Etanercept,O75015
DB00005,Etanercept,P02745
DB00006,Bivalirudin,P00734
DB00007,Leuprolide,P30968
DB00007,Leuprolide,P01148
DB00008,Peginterferon alfa-2a,P48551
DB00008,Peginterferon alfa-2a,P17181
DB00008,Peginterferon alfa-2a,P01563
DB00009,Alteplase,P00747
DB00009,Alteplase,P02671
DB00009,Alteplase,P02679
DB00009,Alteplase,P05121
DB00010,Sermorelin,Q02643
DB00011,Interferon alfa-n1,P17181
DB00011,Interferon alfa-n1,P48551
DB00012,Darbepoetin alfa,P19235
DB00013,Urokinase,P00747
DB00013,Urokinase,Q03405
DB00013,Urokinase,P05121
DB00013,Urokinase,P05120
DB00013,Urokinase,P00749
DB00013,Urokinase,P05154
DB00013,Urokinase,P98164
DB00013,Urokinase,Q9Y5Y6
DB00013,Urokinase,P14543
DB00014,Goserelin,P22888
DB00014,Goserelin,P30968
DB00014,Goserelin,P01148
DB00015,Reteplase,P00747
DB00015,Reteplase,P02671
DB00015,Reteplase,P05121
DB00016,Erythropoietin,P19235
DB00017,Salmon calcitonin,P30988
DB00018,Interferon alfa-n3,P17181
DB00018,Interferon alfa-n3,P48551
DB00019,Pegfilgrastim,Q99062
DB00020,Sargramostim,P15509
DB00020,Sargramostim,P26951
DB00020,Sargramostim,P32927
DB00020,Sargramostim,P34741
DB00022,Peginterferon alfa-2b,P17181
DB00022,Peginterferon alfa-2b,P48551
DB00022,Peginterferon alfa-2b,P01563
DB00024,Thyrotropin alfa,P16473
DB00025,"Antihemophilic factor, human recombinant",P00742
DB00025,"Antihemophilic factor, human recombinant",P00740
DB00025,"Antihemophilic factor, human recombinant",P04275
DB00025,"Antihemophilic factor, human recombinant",O14832
DB00025,"Antihemophilic factor, human recombinant",P07307
DB00025,"Antihemophilic factor, human recombinant",P11021
DB00025,"Antihemophilic factor, human recombinant",P27797
DB00025,"Antihemophilic factor, human recombinant",P27824
DB00025,"Antihemophilic factor, human recombinant",P49257
DB00025,"Antihemophilic factor, human recombinant",Q07954
DB00025,"Antihemophilic factor, human recombinant",Q8NI22
DB00026,Anakinra,P14778
DB00028,Human immunoglobulin G,P12314
DB00028,Human immunoglobulin G,Q92637
DB00028,Human immunoglobulin G,P12318
DB00028,Human immunoglobulin G,P31994
DB00028,Human immunoglobulin G,P31995
DB00028,Human immunoglobulin G,P08637
DB00028,Human immunoglobulin G,O75015
DB00028,Human immunoglobulin G,P01024
DB00028,Human immunoglobulin G,P0C0L4
DB00028,Human immunoglobulin G,P0C0L5
DB00028,Human immunoglobulin G,P01031
DB00029,Anistreplase,P00747
DB00029,Anistreplase,P02671
DB00029,Anistreplase,P05121
DB00030,Insulin human,P06213
DB00030,Insulin human,P08069
DB00030,Insulin human,P16870
DB00030,Insulin human,P48745
DB00030,Insulin human,P98164
DB00030,Insulin human,Q16270
DB00031,Tenecteplase,P00747
DB00032,Menotropins,P23945
DB00032,Menotropins,P22888
DB00033,Interferon gamma-1b,P15260
DB00033,Interferon gamma-1b,P38484
DB00034,Interferon alfa-2a,P17181
DB00034,Interferon alfa-2a,P48551
DB00035,Desmopressin,P30518
DB00035,Desmopressin,P37288
DB00035,Desmopressin,P47901
DB00035,Desmopressin,P30559
DB00036,Coagulation factor VIIa Recombinant Human,P00742
DB00036,Coagulation factor VIIa Recombinant Human,P13726
DB00038,Oprelvekin,Q14626
DB00039,Palifermin,P21802
DB00039,Palifermin,P11362
DB00039,Palifermin,P98160
DB00040,Glucagon,P47871
DB00040,Glucagon,O95838
DB00040,Glucagon,P43220
DB00041,Aldesleukin,P14784
DB00041,Aldesleukin,P01589
DB00041,Aldesleukin,P31785
DB00041,Aldesleukin,P60568
DB00042,Botulinum toxin type B,P63027
DB00042,Botulinum toxin type B,P23763
DB00042,Botulinum toxin type B,Q8N9I0
DB00043,Omalizumab,P01854
DB00043,Omalizumab,P30273
DB00044,Lutropin alfa,P22888
DB00045,Lyme disease vaccine (recombinant OspA),O60603
DB00046,Insulin lispro,P06213
DB00046,Insulin lispro,P08069
DB00047,Insulin glargine,P06213
DB00047,Insulin glargine,P01308
DB00047,Insulin glargine,P08069
DB00048,Collagenase clostridium histolyticum,P02452
DB00048,Collagenase clostridium histolyticum,P02458
DB00048,Collagenase clostridium histolyticum,P02461
DB00050,Cetrorelix,P30968
DB00051,Adalimumab,P01375
DB00052,Somatotropin,P10912
DB00052,Somatotropin,P16471
DB00054,Abciximab,P05106
DB00054,Abciximab,P08514
DB00054,Abciximab,P12318
DB00054,Abciximab,P31994
DB00054,Abciximab,P04004
DB00055,Drotrecogin alfa,P00451
DB00055,Drotrecogin alfa,P12259
DB00055,Drotrecogin alfa,P05121
DB00055,Drotrecogin alfa,P07204
DB00055,Drotrecogin alfa,P07225
DB00055,Drotrecogin alfa,P00734
DB00055,Drotrecogin alfa,P02776
DB00055,Drotrecogin alfa,P05154
DB00055,Drotrecogin alfa,P35237
DB00055,Drotrecogin alfa,Q9UNN8
DB00056,Gemtuzumab ozogamicin,P20138
DB00056,Gemtuzumab ozogamicin,O75015
DB00056,Gemtuzumab ozogamicin,P08637
DB00056,Gemtuzumab ozogamicin,P12314
DB00058,Alpha-1-proteinase inhibitor,P08246
DB00060,Interferon beta-1a,P17181
DB00060,Interferon beta-1a,P48551
DB00060,Interferon beta-1a,P01574
DB00061,Pegademase,P62993
DB00063,Eptifibatide,P05106
DB00063,Eptifibatide,P08514
DB00063,Eptifibatide,P54289
DB00065,Infliximab,P01375
DB00066,Follitropin,P23945
DB00067,Vasopressin,P30518
DB00067,Vasopressin,P37288
DB00067,Vasopressin,P47901
DB00067,Vasopressin,P30559
DB00068,Interferon beta-1b,P17181
DB00068,Interferon beta-1b,P48551
DB00069,Interferon alfacon-1,P17181
DB00069,Interferon alfacon-1,P48551
DB00070,Hyaluronidase (ovine),P01137
DB00071,Insulin pork,P06213
DB00071,Insulin pork,P08069
DB00072,Trastuzumab,P04626
DB00073,Rituximab,P11836
DB00074,Basiliximab,P01589
DB00074,Basiliximab,P14784
DB00075,Muromonab,P04234
DB00075,Muromonab,P07766
DB00075,Muromonab,P09693
DB00075,Muromonab,P20963
DB00075,Muromonab,O75015
DB00078,Ibritumomab tiuxetan,P11836
DB00081,Tositumomab,P11836
DB00081,Tositumomab,P31994
DB00082,Pegvisomant,P10912
DB00083,Botulinum toxin type A,P60880
DB00083,Botulinum toxin type A,P62745
DB00086,Streptokinase,P00747
DB00086,Streptokinase,P25116
DB00087,Alemtuzumab,P31358
DB00087,Alemtuzumab,O75015
DB00087,Alemtuzumab,P08637
DB00087,Alemtuzumab,P12314
DB00087,Alemtuzumab,P12318
DB00087,Alemtuzumab,P31994
DB00087,Alemtuzumab,P31995
DB00089,Capromab pendetide,Q04609
DB00091,Cyclosporine,P49069
DB00091,Cyclosporine,Q96LZ3
DB00091,Cyclosporine,P62937
DB00091,Cyclosporine,P30405
DB00091,Cyclosporine,Q08209
DB00092,Alefacept,P06729
DB00092,Alefacept,P19256
DB00092,Alefacept,P08637
DB00092,Alefacept,O75015
DB00094,Urofollitropin,P23945
DB00095,Efalizumab,P20702
DB00095,Efalizumab,P20701
DB00097,Choriogonadotropin alfa,P23945
DB00097,Choriogonadotropin alfa,P22888
DB00098,Antithymocyte immunoglobulin (rabbit),Q95460
DB00098,Antithymocyte immunoglobulin (rabbit),P42081
DB00098,Antithymocyte immunoglobulin (rabbit),P31994
DB00098,Antithymocyte immunoglobulin (rabbit),P20701
DB00098,Antithymocyte immunoglobulin (rabbit),P06756
DB00098,Antithymocyte immunoglobulin (rabbit),P05556
DB00098,Antithymocyte immunoglobulin (rabbit),P05106
DB00098,Antithymocyte immunoglobulin (rabbit),P06126
DB00098,Antithymocyte immunoglobulin (rabbit),P01730
DB00099,Filgrastim,Q99062
DB00100,Coagulation Factor IX (Recombinant),P00742
DB00100,Coagulation Factor IX (Recombinant),P03951
DB00100,Coagulation Factor IX (Recombinant),P08709
DB00100,Coagulation Factor IX (Recombinant),P00451
DB00100,Coagulation Factor IX (Recombinant),Q07954
DB00100,Coagulation Factor IX (Recombinant),P38435
DB00102,Becaplermin,P09619
DB00102,Becaplermin,P16234
DB00102,Becaplermin,P01023
DB00104,Octreotide,P30874
DB00105,Interferon alfa-2b,P48551
DB00105,Interferon alfa-2b,P17181
DB00105,Interferon alfa-2b,P01563
DB00106,Abarelix,P30968
DB00107,Oxytocin,P30559
DB00107,Oxytocin,P30518
DB00107,Oxytocin,P47901
DB00107,Oxytocin,P37288
DB00108,Natalizumab,P13612
DB00108,Natalizumab,O75015
DB00108,Natalizumab,P12314
DB00108,Natalizumab,P05362
DB00110,Palivizumab,O75015
DB00110,Palivizumab,P08637
DB00110,Palivizumab,P12314
DB00110,Palivizumab,P00736
DB00110,Palivizumab,P02745
DB00110,Palivizumab,P02746
DB00110,Palivizumab,P02747
DB00110,Palivizumab,P31994
DB00111,Daclizumab,P01589
DB00111,Daclizumab,P14784
DB00111,Daclizumab,O75015
DB00111,Daclizumab,P00736
DB00111,Daclizumab,P02745
DB00111,Daclizumab,P02746
DB00111,Daclizumab,P02747
DB00111,Daclizumab,P08637
DB00111,Daclizumab,P12314
DB00111,Daclizumab,P12318
DB00111,Daclizumab,P31994
DB00111,Daclizumab,P31995
DB00112,Bevacizumab,P15692
DB00112,Bevacizumab,P02745
DB00112,Bevacizumab,P02746
DB00112,Bevacizumab,P02747
DB00112,Bevacizumab,P08637
DB00112,Bevacizumab,P12314
DB00112,Bevacizumab,P12318
DB00112,Bevacizumab,P31994
DB00112,Bevacizumab,P31995
DB00114,Pyridoxal phosphate,P80404
DB00114,Pyridoxal phosphate,P00734
DB00114,Pyridoxal phosphate,Q9BYV1
DB00114,Pyridoxal phosphate,Q99259
DB00114,Pyridoxal phosphate,P35520
DB00114,Pyridoxal phosphate,Q16719
DB00114,Pyridoxal phosphate,P34896
DB00114,Pyridoxal phosphate,Q9Y697
DB00114,Pyridoxal phosphate,P17174
DB00114,Pyridoxal phosphate,P04181
DB00114,Pyridoxal phosphate,P11926
DB00114,Pyridoxal phosphate,Q8N5Z0
DB00114,Pyridoxal phosphate,Q9NVS9
DB00114,Pyridoxal phosphate,O95470
DB00114,Pyridoxal phosphate,P17735
DB00114,Pyridoxal phosphate,Q16773
DB00114,Pyridoxal phosphate,P06737
DB00114,Pyridoxal phosphate,O15270
DB00114,Pyridoxal phosphate,Q9Y600
DB00114,Pyridoxal phosphate,P19113
DB00114,Pyridoxal phosphate,Q96A70
DB00114,Pyridoxal phosphate,P20132
DB00114,Pyridoxal phosphate,O75600
DB00114,Pyridoxal phosphate,P23378
DB00114,Pyridoxal phosphate,P24298
DB00114,Pyridoxal phosphate,Q9Y617
DB00114,Pyridoxal phosphate,P13196
DB00114,Pyridoxal phosphate,P21549
DB00114,Pyridoxal phosphate,Q96GD0
DB00114,Pyridoxal phosphate,O15269
DB00114,Pyridoxal phosphate,P32929
DB00114,Pyridoxal phosphate,P54687
DB00114,Pyridoxal phosphate,O15382
DB00114,Pyridoxal phosphate,O94903
DB00114,Pyridoxal phosphate,P00505
DB00114,Pyridoxal phosphate,P11216
DB00114,Pyridoxal phosphate,P11217
DB00114,Pyridoxal phosphate,P20711
DB00114,Pyridoxal phosphate,Q53ET4
DB00114,Pyridoxal phosphate,Q05329
DB00114,Pyridoxal phosphate,Q6YP21
DB00114,Pyridoxal phosphate,Q6ZQY3
DB00114,Pyridoxal phosphate,Q96I15
DB00114,Pyridoxal phosphate,Q6WRI0
DB00114,Pyridoxal phosphate,Q8IUZ5
DB00114,Pyridoxal phosphate,P34897
DB00114,Pyridoxal phosphate,P22557
DB00114,Pyridoxal phosphate,Q8TD30
DB00114,Pyridoxal phosphate,Q96EN8
DB00114,Pyridoxal phosphate,Q96GA7
DB00114,Pyridoxal phosphate,Q9GZT4
DB00114,Pyridoxal phosphate,Q9HD40
DB00114,Pyridoxal phosphate,Q9NUV7
DB00114,Pyridoxal phosphate,Q9UGI5
DB00115,Cyanocobalamin,Q99707
DB00115,Cyanocobalamin,P22033
DB00115,Cyanocobalamin,Q9UBK8
DB00115,Cyanocobalamin,Q8IVH4
DB00115,Cyanocobalamin,Q9Y4U1
DB00115,Cyanocobalamin,P42898
DB00117,Histidine,P19113
DB00117,Histidine,P12081
DB00117,Histidine,Q99624
DB00117,Histidine,P42357
DB00118,Ademetionine,P21964
DB00118,Ademetionine,Q8N1G2
DB00118,Ademetionine,Q9HBK9
DB00118,Ademetionine,Q14749
DB00118,Ademetionine,P17707
DB00118,Ademetionine,P31153
DB00118,Ademetionine,P35520
DB00118,Ademetionine,Q00266
DB00119,Pyruvic acid,P80404
DB00119,Pyruvic acid,P22748
DB00119,Pyruvic acid,O15427
DB00119,Pyruvic acid,P36021
DB00119,Pyruvic acid,Q9BYV1
DB00119,Pyruvic acid,O15375
DB00119,Pyruvic acid,P30613
DB00119,Pyruvic acid,O15403
DB00119,Pyruvic acid,O60669
DB00119,Pyruvic acid,P11177
DB00119,Pyruvic acid,P14618
DB00119,Pyruvic acid,O15374
DB00119,Pyruvic acid,O95907
DB00119,Pyruvic acid,P53985
DB00119,Pyruvic acid,P11498
DB00120,Phenylalanine,P07101
DB00120,Phenylalanine,P17735
DB00120,Phenylalanine,Q9UHI5
DB00120,Phenylalanine,Q9Y285
DB00120,Phenylalanine,P00439
DB00120,Phenylalanine,O95363
DB00120,Phenylalanine,Q9NSD9
DB00121,Biotin,P05166
DB00121,Biotin,P50747
DB00121,Biotin,Q9HCC0
DB00121,Biotin,O00763
DB00121,Biotin,Q96RQ3
DB00121,Biotin,P11498
DB00121,Biotin,P05165
DB00121,Biotin,Q13085
DB00122,Choline,Q15822
DB00122,Choline,P36544
DB00122,Choline,Q9Y5K3
DB00123,Lysine,P30825
DB00123,Lysine,O43246
DB00123,Lysine,Q8WY07
DB00123,Lysine,P52569
DB00123,Lysine,Q15046
DB00125,Arginine,Q8WY07
DB00125,Arginine,P04183
DB00125,Arginine,Q96A70
DB00125,Arginine,P04424
DB00125,Arginine,P35228
DB00125,Arginine,P30825
DB00125,Arginine,P78540
DB00125,Arginine,O43246
DB00125,Arginine,P00966
DB00125,Arginine,P29474
DB00126,Ascorbic acid,Q9UHI7
DB00126,Ascorbic acid,Q9UGH3
DB00126,Ascorbic acid,O00469
DB00126,Ascorbic acid,O14832
DB00126,Ascorbic acid,O60568
DB00126,Ascorbic acid,O75936
DB00126,Ascorbic acid,P09172
DB00126,Ascorbic acid,P19021
DB00126,Ascorbic acid,Q32P28
DB00126,Ascorbic acid,Q8IVL5
DB00126,Ascorbic acid,Q8IVL6
DB00126,Ascorbic acid,P13674
DB00126,Ascorbic acid,Q8N543
DB00126,Ascorbic acid,Q6N063
DB00126,Ascorbic acid,Q6NS38
DB00126,Ascorbic acid,Q96Q83
DB00126,Ascorbic acid,Q9BY66
DB00126,Ascorbic acid,Q02809
DB00126,Ascorbic acid,Q9NVH6
DB00126,Ascorbic acid,Q9NXG6
DB00126,Ascorbic acid,Q9GZT9
DB00126,Ascorbic acid,Q96KS0
