disorder;gene_symb
3-M syndrome;CUL7, 3M1, OBSL1, KIAA0657, 3M2, CCDC8, 3M3
3-Methylcrotonyl-CoA carboxylase deficiency;MCCC1, MCCA, MCCC2, MCCB
3MC syndrome;MASP1, CRARF, 3MC1, COLEC11, CLK1, 3MC2
46 XX gonadal dysgenesis;FSHR, ODG1, SRY, TDF, TDY, SRXX1, SRXY1, PSMC3IP, TBPIP, GT198, HOP2, ODG3
46 XY gonadal dysgenesis;DHH, SRXY7, GDXYM, DAX1, AHC, AHX, NR0B1, SRXY2, SRY, TDF, TDY, SRXX1, SRXY1, NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8, CBX2, M33, SRXY5, MAP3K1, MEKK1, MEKK, SRXY6, AKR1C2, DDH2, DD2, HAKRD, SRXY8, AKR1C4, CHDR, CDR, HAKRA, DD4
ABCD syndrome;EDNRB, HSCR2, ABCDS, WS4A
ACTH-secreting pituitary adenoma;AIP, XAP2, ARA9
ADULT syndrome;TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8
AGAT deficiency;GATM, AGAT, CCDS3
ARC syndrome;VPS33B, VIPAS39, VIPAR, SPE39, C14orf133
Aarskog-Scott syndrome;FGD1, FGDY, AAS, MRXS16
Adams-Oliver syndrome;ARHGAP31, CDGAP, KIAA1204, AOS1, DOCK6, KIAA1395, AOS2, RBPJ, RBPSUH, IGKJRB1, AOS3, EOGT, EOGT1, C3orf64, AOS4
Aicardi-Goutieres syndrome;TREX1, AGS1, CRV, HERNS, RNASEH2B, DLEU8, FLJ11712, AGS2, RNASEH2C, AYP1, FLJ20974, AGS3, RNASEH2A, RNHIA, AGS4, SAMHD1, AGS5, DCIP, CHBL2, ADAR, DRADA, DSH, DSRAD, IFI4, G1P1, AGS6, IFIH1, MDA5, AGS7
Alagille syndrome;JAG1, AGS, AHD, NOTCH2, AGS2, HJCYS
Aland Island eye disease;CACNA1F, CSNB2, CORDX3, CSNB2A, AIED, OA2
Albright's hereditary osteodystrophy;GNAS, GNAS1, GPSA, POH, PHP1B, PHP1A, AHO, PHP1C
Alexander disease;GFAP
Allan-Herndon-Dudley syndrome;SLC16A2, DXS128, XPCT
Alpers syndrome;POLG, POLG1, POLGA, PEO, SANDO, SCAE, MTDPS4A, MTDPS4B, MIRAS
Alport syndrome;COL4A3, COL4A3, COL4A4, COL4A5, ATS, ASLN
Alstrom syndrome;ALMS1, ALSS, KIAA0328
Alzheimer's disease;A2M , A2MD, ACE, DCP1, ACE1, MVCD3, ICH, AD10, AD5, AD6, AD8, AD9, APBB2, FE65L1, APP, AAA, CVAP, AD1, BLMH, BMH, HFE, HLA-H, HFE1, MVCD7, TFQTL2, MPO, NOS3, PACIP1, PAXIP1L, PTIP, PLAU, URK, QPD, BDPLT5, SORL1, LR11, SORLA, APOE, AD2, LPG, LDLCQ5, PSEN2, AD4, STM2, CMD1V, PSEN1, AD3
Andersen-Tawil syndrome;KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9
