uniprot,symbol,entrez
P45985,MAP2K4,6416
Q86TC9,MYPN,84665
Q04771,ACVR1,90
P23769,GATA2,2624
P15927,RPA2,6118
P84077,ARF1,375
P61204,ARF3,377
Q8IZH2,XRN1,54464
P05067,APP,351
P51693,APLP1,333
Q99967,CITED2,10370
Q09472,EP300,2033
P04114,APOB,338
P32121,ARRB2,409
P07333,CSF1R,1436
P48634,PRRC2A,7916
O15116,LSM1,27257
P02730,SLC4A1,6521
P20749,BCL3,602
P08588,ADRB1,153
P38398,BRCA1,672
O00192,ARVCF,421
P61457,PCBD1,5092
P49810,PSEN2,5664
P20807,CAPN3,825
Q14643,ITPR1,3708
Q96QZ7,MAGI1,9223
P06400,RB1,5925
Q99816,TSG101,7251
Q13415,ORC1,4998
O43929,ORC4,5000
P33992,MCM5,4174
O00311,CDC7,8317
Q13416,ORC2,4999
Q9UBU7,DBF4,10926
O43823,AKAP8,10270
P49736,MCM2,4171
P27694,RPA1,6117
P35244,RPA3,6119
O43913,ORC5,5001
P25205,MCM3,4172
P63104,YWHAZ,7534
Q8NF50,DOCK8,81704
Q15642,TRIP10,9322
Q16667,CDKN3,1033
Q99708,RBBP8,5932
P61296,HAND2,9464
Q00610,CLTC,1213
P17936,IGFBP3,3486
P10599,TXN,7295
P15336,ATF2,1386
P30281,CCND3,896
Q15311,RALBP1,10928
P23284,PPIB,5479
P21291,CSRP1,1465
P41240,CSK,1445
P07585,DCN,1634
Q14190,SIM2,6493
P81133,SIM1,6492
Q8IUM7,NPAS4,266743
Q99075,HBEGF,1839
P12004,PCNA,5111
Q92547,TOPBP1,11073
P21333,FLNA,2316
P62310,LSM3,27258
Q9Y4Z0,LSM4,25804
Q9Y4Y9,LSM5,23658
Q92793,CREBBP,1387
Q14980,NUMA1,4926
Q9NPD3,EXOSC4,54512
P19174,PLCG1,5335
Q86UP2,KTN1,3895
P35968,KDR,3791
Q86YN6,PPARGC1B,133522
P51532,SMARCA4,6597
Q8TDD1,DDX54,79039
P03372,ESR1,2099
P11362,FGFR1,2260
P01137,TGFB1,7040
P63165,SUMO1,7341
Q9NZW5,MPP6,51678
P18507,GABRG2,2566
P31947,SFN,2810
O43294,TGFB1I1,7041
P04150,NR3C1,2908
P35557,GCK,2645
P11021,HSPA5,3309
P11168,SLC2A2,6514
P14672,SLC2A4,6517
Q13002,GRIK2,2898
P39086,GRIK1,2897
O60563,CCNT1,904
P49795,RGS19,10287
Q03933,HSF2,3298
P53667,LIMK1,3984
P21781,FGF7,2252
Q07021,C1QBP,708
P60228,EIF3E,3646
P09651,HNRNPA1,3178
P52272,HNRNPM,4670
Q14157,UBAP2L,9898
Q16891,IMMT,10989
Q13099,IFT88,8100
P42858,HTT,3064
P54257,HAP1,9001
Q9NX55,HYPK,25764
Q14814,MEF2D,4209
P15923,TCF3,6929
P08069,IGF1R,3480
P62258,YWHAE,7531
O15524,SOCS1,8651
Q05397,PTK2,5747
P45983,MAPK8,5599
P06213,INSR,3643
P01583,IL1A,3552
O60674,JAK2,3717
Q13895,BYSL,705
P05783,KRT18,3875
P02545,LMNA,4000
P55196,MLLT4,4301
Q7Z465,BNIPL,149428
Q12982,BNIP2,663
Q16637,SMN1,6606
Q13625,TP53BP2,7159
Q9NQC3,RTN4,57142
P10415,BCL2,596
P19838,NFKB1,4790
Q86WV1,SKAP1,8631
P09917,ALOX5,240
P15498,VAV1,7409
Q15080,NCF4,4689
P13010,XRCC5,7520
P49959,MRE11A,4361
Q8N2W9,PIAS4,51588
O75030,MITF,4286
Q86SQ9,DHDDS,79947
P67809,YBX1,4904
Q5VV63,ATRNL1,26033
Q6VMQ6,ATF7IP,55729
Q13111,CHAF1A,10036
P39687,ANP32A,8125
P46821,MAP1B,4131
P33993,MCM7,4176
P48745,NOV,4856
Q03164,KMT2A,4297
P20929,NEB,4703
P08138,NGFR,4804
Q9UK45,LSM7,51690
Q9Y6H5,SNCAIP,9627
Q9H4G0,EPB41L1,2036
P41279,MAP3K8,1326
Q04206,RELA,5970
P46087,NOP2,4839
P14921,ETS1,2113
P31751,AKT2,208
P15036,ETS2,2114
Q9UPX8,SHANK2,22941
Q14247,CTTN,2017
Q13573,SNW1,22938
P01111,NRAS,4893
Q92990,GLMN,11146
Q9UGL1,KDM5B,10765
Q04864,REL,5966
P17948,FLT1,2321
P41143,OPRD1,4985
O00159,MYO1C,4641
O43924,PDE6D,5147
P52306,RAP1GDS1,5910
Q02548,PAX5,5079
O60229,KALRN,8997
Q96F24,NRBF2,29982
Q92569,PIK3R3,8503
P02647,APOA1,335
O95777,LSM8,51691
Q15036,SNX17,9784
P98161,PKD1,5310
Q13563,PKD2,5311
P22459,KCNA4,3739
P35080,PFN2,5217
O60921,HUS1,3364
P23467,PTPRB,5787
P10644,PRKAR1A,5573
P31321,PRKAR1B,5575
P16591,FER,2241
P28482,MAPK1,5594
Q5JVS0,HABP4,22927
Q92636,NSMAF,8439
P10275,AR,367
